Customer_Name,Customer_Code,Street_Name,Street_Number,Apartment_Suite_Floor,City_SubArea,District,City,State,Country,PO_BOX,Postal_Code,Phone,URL,TAX_NUMBER,taxIdentifierType,isValid,reason_code,payld,LangCode
Nanushka International Zrt. test,60076867,Varosmajor street,14.0,1122,,,Budapest,,Hungary,,1122,607823555691.0,,,HU0,Invalid,"[{'errorCode': 7002, 'field': 'PHONE_NUMBER', 'value': '6078235556910', 'message': 'For country Hungary, Telephone length must be exactly 8 numeric digits, cannot start with zero.'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""Nanushka International Zrt. test"", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""HU"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Varosmajor street"", ""streetNumber"": ""14.0"", ""apartmentOrFloor"": ""1122"", ""subArea"": """", ""districtName"": """", ""cityName"": ""Budapest"", ""poBoxNumber"": """", ""postalCode"": ""1122"", ""isoLanguageCode"": ""HU"", ""country"": {""isoCountryCode"": ""HU"", ""countryName"": ""Hungary""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [], ""customerBrands"": [], ""communicationNumber"": {""number"": ""6078235556910"", ""internationalDialingCode"": ""36"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""HU"", ""countryName"": ""Hungary""}}}",HU
ULL LIGHTING INDUSTRIAL CORP.,1279934,Huanhe N. Rd,,"11F.-3, No. 73, Sec. 1,  10342",Datong Dist,,Taipei,,Taiwan China,,103,228202121.0,,16759900,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""ULL LIGHTING INDUSTRIAL CORP."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Huanhe N. Rd"", ""streetNumber"": """", ""apartmentOrFloor"": ""11F.-3, No. 73, Sec. 1, 10342"", ""subArea"": ""Datong Dist"", ""districtName"": """", ""cityName"": ""Taipei"", ""poBoxNumber"": """", ""postalCode"": ""103"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""16759900"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""2282021210"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
"Huaxin Optoelectronics Enterprise Co., Ltd.",1468797,Chun'an Road,,"No. 25-5, Lane 57, Taichung City 408",Nantun District,,Taichung,,Taiwan China,,408,423875611.0,,24420707,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""Huaxin Optoelectronics Enterprise Co., Ltd."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Chun'an Road"", ""streetNumber"": """", ""apartmentOrFloor"": ""No. 25-5, Lane 57, Taichung City 408"", ""subArea"": ""Nantun District"", ""districtName"": """", ""cityName"": ""Taichung"", ""poBoxNumber"": """", ""postalCode"": ""408"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""24420707"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""4238756110"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
"FOMOLUX ENTERPRISE CO., LTD.",1608087,Jianguo Rd,276.0,"3 Floor, New Taipei City 23142",Xindian Dist,,New Taipei City,,Taiwan China,,231,229108883.0,,86165183,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""FOMOLUX ENTERPRISE CO., LTD."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Jianguo Rd"", ""streetNumber"": ""276.0"", ""apartmentOrFloor"": ""3 Floor, New Taipei City 23142"", ""subArea"": ""Xindian Dist"", ""districtName"": """", ""cityName"": ""New Taipei City"", ""poBoxNumber"": """", ""postalCode"": ""231"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""86165183"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""2291088830"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
Nanushka International Zrt.,6007682,Varosmajor street,14.0,1122,,,Budapest,,Hungary,,1122,,,,HU0,Valid,,"{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""Nanushka International Zrt."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""HU"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Varosmajor street"", ""streetNumber"": ""14.0"", ""apartmentOrFloor"": ""1122"", ""subArea"": """", ""districtName"": """", ""cityName"": ""Budapest"", ""poBoxNumber"": """", ""postalCode"": ""1122"", ""isoLanguageCode"": ""HU"", ""country"": {""isoCountryCode"": ""HU"", ""countryName"": ""Hungary""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [], ""customerBrands"": []}",HU
"YUN CHENG LIGHTING CO., LTD.",1228641,Dinghu 2nd St,82.0,"Dahua Vil., Taoyuan City 33378",Guishan Dist,,Taipei,,Taiwan China,,333,33979779.0,,28939626,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""YUN CHENG LIGHTING CO., LTD."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Dinghu 2nd St"", ""streetNumber"": ""82.0"", ""apartmentOrFloor"": ""Dahua Vil., Taoyuan City 33378"", ""subArea"": ""Guishan Dist"", ""districtName"": """", ""cityName"": ""Taipei"", ""poBoxNumber"": """", ""postalCode"": ""333"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""28939626"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""339797790"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
"HUANG SUN CO., LTD.",1354610,Keelung Rd,,"13F.-1, No. 159, Sec. 1, 11070",Xinyi Dist,,Taipei,,Taiwan China,,110,33973879.0,,12474538,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""HUANG SUN CO., LTD."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Keelung Rd"", ""streetNumber"": """", ""apartmentOrFloor"": ""13F.-1, No. 159, Sec. 1, 11070"", ""subArea"": ""Xinyi Dist"", ""districtName"": """", ""cityName"": ""Taipei"", ""poBoxNumber"": """", ""postalCode"": ""110"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""12474538"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""339738790"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
"ELEMENTS UVGI CO., LTD.",1606485,XINTAI 5TH RD,,"22F.-5, NO. 99, SEC. 1, 22175",XIZHI DIST,,New Taipei City,,Taiwan China,,221,226971911.0,,83785273,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""ELEMENTS UVGI CO., LTD."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""XINTAI 5TH RD"", ""streetNumber"": """", ""apartmentOrFloor"": ""22F.-5, NO. 99, SEC. 1, 22175"", ""subArea"": ""XIZHI DIST"", ""districtName"": """", ""cityName"": ""New Taipei City"", ""poBoxNumber"": """", ""postalCode"": ""221"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""83785273"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""2269719110"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
Ocean Advertising Media (Shanghai) Co. Ltd.,6007062,Liuxiang Road,6899.0,"Room J2757, Buliding 1",Jiading District,,Shanghai,,China,,201500,13818538186.0,,,CN5,Invalid,"[{'errorCode': 7002, 'field': 'REGION', 'value': '', 'message': 'For country China, Province field is mandatory.'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""Ocean Advertising Media (Shanghai) Co. Ltd."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Liuxiang Road"", ""streetNumber"": ""6899.0"", ""apartmentOrFloor"": ""Room J2757, Buliding 1"", ""subArea"": ""Jiading District"", ""districtName"": """", ""cityName"": ""Shanghai"", ""poBoxNumber"": """", ""postalCode"": ""201500"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""CN"", ""countryName"": ""China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [], ""customerBrands"": [], ""communicationNumber"": {""number"": ""138185381860"", ""internationalDialingCode"": ""86"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""CN"", ""countryName"": ""China""}}}",ZH
Nanushka International Zrt. test,60076867,Varosmajor street,14.0,1122,,,Budapest,,Hungary,,1122,607823555691.0,,,HU0,Invalid,"[{'errorCode': 7002, 'field': 'PHONE_NUMBER', 'value': '6078235556910', 'message': 'For country Hungary, Telephone length must be exactly 8 numeric digits, cannot start with zero.'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""Nanushka International Zrt. test"", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""HU"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Varosmajor street"", ""streetNumber"": ""14.0"", ""apartmentOrFloor"": ""1122"", ""subArea"": """", ""districtName"": """", ""cityName"": ""Budapest"", ""poBoxNumber"": """", ""postalCode"": ""1122"", ""isoLanguageCode"": ""HU"", ""country"": {""isoCountryCode"": ""HU"", ""countryName"": ""Hungary""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [], ""customerBrands"": [], ""communicationNumber"": {""number"": ""6078235556910"", ""internationalDialingCode"": ""36"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""HU"", ""countryName"": ""Hungary""}}}",HU
ULL LIGHTING INDUSTRIAL CORP.,1279934,Huanhe N. Rd,,"11F.-3, No. 73, Sec. 1,  10342",Datong Dist,,Taipei,,Taiwan China,,103,228202121.0,,16759900,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""ULL LIGHTING INDUSTRIAL CORP."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Huanhe N. Rd"", ""streetNumber"": """", ""apartmentOrFloor"": ""11F.-3, No. 73, Sec. 1, 10342"", ""subArea"": ""Datong Dist"", ""districtName"": """", ""cityName"": ""Taipei"", ""poBoxNumber"": """", ""postalCode"": ""103"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""16759900"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""2282021210"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
"Huaxin Optoelectronics Enterprise Co., Ltd.",1468797,Chun'an Road,,"No. 25-5, Lane 57, Taichung City 408",Nantun District,,Taichung,,Taiwan China,,408,423875611.0,,24420707,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""Huaxin Optoelectronics Enterprise Co., Ltd."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Chun'an Road"", ""streetNumber"": """", ""apartmentOrFloor"": ""No. 25-5, Lane 57, Taichung City 408"", ""subArea"": ""Nantun District"", ""districtName"": """", ""cityName"": ""Taichung"", ""poBoxNumber"": """", ""postalCode"": ""408"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""24420707"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""4238756110"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
"FOMOLUX ENTERPRISE CO., LTD.",1608087,Jianguo Rd,276.0,"3 Floor, New Taipei City 23142",Xindian Dist,,New Taipei City,,Taiwan China,,231,229108883.0,,86165183,XX01,Invalid,"[{'errorCode': 7002, 'field': 'ISO_COUNTRY_CODE, IDENTIFIER_CODE', 'value': 'TAIWAN CHINA, XX01', 'message': 'Invalid identifierCode: XX01, for country: TAIWAN CHINA'}]","{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""FOMOLUX ENTERPRISE CO., LTD."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""ZH"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Jianguo Rd"", ""streetNumber"": ""276.0"", ""apartmentOrFloor"": ""3 Floor, New Taipei City 23142"", ""subArea"": ""Xindian Dist"", ""districtName"": """", ""cityName"": ""New Taipei City"", ""poBoxNumber"": """", ""postalCode"": ""231"", ""isoLanguageCode"": ""ZH"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [{""identifierType"": ""TAX_NUM"", ""identifierCode"": ""XX01"", ""identifierValue"": ""86165183"", ""isDeletedFlag"": false, ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}], ""customerBrands"": [], ""communicationNumber"": {""number"": ""2291088830"", ""internationalDialingCode"": ""886"", ""communicationNumberType"": ""TEL"", ""country"": {""isoCountryCode"": ""TW"", ""countryName"": ""Taiwan China""}}}",ZH
Nanushka International Zrt.,6007682,Varosmajor street,14.0,1122,,,Budapest,,Hungary,,1122,,,,HU0,Valid,,"{""customerAuditData"": {""user"": ""xyz@crb.apmoller.net"", ""sourceSystem"": ""PRTL""}, ""tradingName"": ""Nanushka International Zrt."", ""customerType"": ""ZEXC"", ""customerExternalSystemIdentifiers"": [{""externalSystemName"": ""MODS"", ""externalSystemReference"": ""41001"", ""isDeletedFlag"": false}], ""customerStatus"": {""statusCode"": ""A""}, ""invoiceISOLanguageCodePreference"": ""HU"", ""isBrokerage"": false, ""isForwardersCompensation"": false, ""isSoleProprietor"": false, ""customerAddress"": {""streetName"": ""Varosmajor street"", ""streetNumber"": ""14.0"", ""apartmentOrFloor"": ""1122"", ""subArea"": """", ""districtName"": """", ""cityName"": ""Budapest"", ""poBoxNumber"": """", ""postalCode"": ""1122"", ""isoLanguageCode"": ""HU"", ""country"": {""isoCountryCode"": ""HU"", ""countryName"": ""Hungary""}}, ""isWorkflowPending"": false, ""customerIdentifiers"": [], ""customerBrands"": []}",HU
